=== Preprocessing Summary Statistics ===

       load_time_s  filter_time_s  baseline_time_s  normalize_time_s  save_time_s  total_time_s  output_size_mb  signal_length  duration_sec
count   128.000000     128.000000       128.000000        128.000000   128.000000    128.000000      128.000000   1.280000e+02    128.000000
mean      0.551039       0.388914         0.969844          0.104859     3.156984      5.171742       62.840719   1.715837e+07  85791.851562
std       0.032880       0.022809         0.096518          0.006589     0.200778      0.319887        3.656542   9.865590e+05   4932.794779
min       0.210000       0.144000         0.310000          0.036000     1.233000      1.932000       23.538000   6.480000e+06  32400.000000
25%       0.549000       0.389000         0.915750          0.104000     3.126500      5.149000       62.845500   1.728000e+07  86400.000000
50%       0.552500       0.390000         0.981000          0.105000     3.190000      5.221500       63.157500   1.728000e+07  86400.000000
75%       0.555000       0.393000         1.036000          0.106000     3.229250      5.275250       63.519750   1.728000e+07  86400.000000
max       0.595000       0.408000         1.179000          0.112000     3.414000      5.505000       64.762000   1.734000e+07  86700.000000

=== Top 5 Slowest Records ===
 record_id  total_time_s  signal_length  output_size_mb
        27         5.505       17220000          62.437
        83         5.458       17220000          62.387
       115         5.439       17280000          62.901
        85         5.393       17280000          62.014
         3         5.368       17280000          62.627

=== Top 5 Fastest Records ===
 record_id  total_time_s  signal_length  output_size_mb
       107         1.932        6480000          23.538
        22         4.310       14357400          53.186
        13         4.812       17220000          63.354
         4         4.904       17340000          64.530
       104         4.914       17280000          63.995
