timestamp,record_id,sampling_rate_hz,signal_length,num_channels,duration_sec,output_file,output_size_mb,load_time_s,filter_time_s,baseline_time_s,normalize_time_s,save_time_s,total_time_s,status,error_msg
2025-10-31T12:12:31.838989,001,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/001_preprocessed.npz,63.925,0.556,0.39,1.027,0.106,3.06,5.138,success,
2025-10-31T12:12:37.075495,002,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/002_preprocessed.npz,63.854,0.563,0.397,1.096,0.11,3.065,5.231,success,
2025-10-31T12:12:42.449506,003,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/003_preprocessed.npz,62.627,0.555,0.39,1.065,0.105,3.254,5.368,success,
2025-10-31T12:12:47.360797,004,200,17340000,1,86700.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/004_preprocessed.npz,64.53,0.555,0.393,0.85,0.105,3.0,4.904,success,
2025-10-31T12:12:52.409138,005,200,17340000,1,86700.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/005_preprocessed.npz,64.37,0.559,0.393,0.958,0.105,3.025,5.039,success,
2025-10-31T12:12:57.739387,006,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/006_preprocessed.npz,63.327,0.551,0.39,1.064,0.105,3.216,5.325,success,
2025-10-31T12:13:03.026575,007,200,17306000,1,86530.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/007_preprocessed.npz,63.006,0.556,0.39,1.038,0.105,3.193,5.281,success,
2025-10-31T12:13:08.202724,008,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/008_preprocessed.npz,63.715,0.575,0.4,0.96,0.11,3.125,5.169,success,
2025-10-31T12:13:13.237922,009,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/009_preprocessed.npz,63.934,0.55,0.393,0.99,0.108,2.989,5.03,success,
2025-10-31T12:13:18.431696,010,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/010_preprocessed.npz,63.896,0.554,0.39,1.051,0.104,3.088,5.188,success,
2025-10-31T12:13:23.721892,011,200,17340000,1,86700.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/011_preprocessed.npz,62.56,0.581,0.403,0.905,0.11,3.285,5.285,success,
2025-10-31T12:13:28.736932,012,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/012_preprocessed.npz,62.719,0.551,0.391,0.834,0.107,3.127,5.011,success,
2025-10-31T12:13:33.553366,013,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/013_preprocessed.npz,63.354,0.548,0.392,0.78,0.107,2.985,4.812,success,
2025-10-31T12:13:38.836526,014,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/014_preprocessed.npz,63.033,0.553,0.391,1.03,0.105,3.196,5.276,success,
2025-10-31T12:13:44.092541,015,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/015_preprocessed.npz,63.166,0.553,0.389,1.059,0.104,3.143,5.248,success,
2025-10-31T12:13:49.350871,017,200,17340000,1,86700.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/017_preprocessed.npz,63.266,0.55,0.394,1.008,0.105,3.195,5.251,success,
2025-10-31T12:13:54.441964,018,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/018_preprocessed.npz,63.965,0.549,0.39,1.036,0.105,3.006,5.085,success,
2025-10-31T12:13:59.568667,019,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/019_preprocessed.npz,63.158,0.546,0.39,0.919,0.105,3.159,5.118,success,
2025-10-31T12:14:04.583369,020,200,17340000,1,86700.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/020_preprocessed.npz,64.37,0.553,0.393,0.958,0.105,3.0,5.009,success,
